State/UT,Crime Type,Number of Crimes
Andhra Pradesh,Murder (Sec.302 IPC),81
Andhra Pradesh,Culpable Homicide not amounting to Murder (Sec.304 IPC),2
Andhra Pradesh,Attempt to Commit Murder (Sec.307 IPC),35
Andhra Pradesh,Attempt to Commit Culpable Homicide (Sec.308 IPC),0
Andhra Pradesh,Simple Hurt (Sec.323 & 324 IPC),593
Andhra Pradesh,"Grievous Hurt (Sec.325,326,326A & 326B IPC)",29
Andhra Pradesh,Assault on Women with Intent to Outrage her Modesty (Sec.354 IPC),64
Andhra Pradesh,Kidnapping and Abduction (Sec.363–368 IPC),5
Andhra Pradesh,Rape (Sec.376 IPC),1
Andhra Pradesh,Extortion (Sec.384–389 IPC),12
Andhra Pradesh,Robbery (Sec.392–398 IPC),10
Andhra Pradesh,Theft (Sec.379 IPC),229
Andhra Pradesh,Dacoity (Total),0
Andhra Pradesh,Criminal Trespass (Sec.447–452 IPC),129
Andhra Pradesh,"Fraud (Sec.420 r/w Sec.465,468–471 IPC)",14
Andhra Pradesh,Cheating (Sec.420 IPC),144
Andhra Pradesh,"Forgery (Sec.467,468,469,471 & 474 IPC)",13
Andhra Pradesh,Criminal Intimidation (Sec.506 IPC),125
Andhra Pradesh,Other IPC Crimes,628
Arunachal Pradesh,Murder (Sec.302 IPC),1
Arunachal Pradesh,Culpable Homicide not amounting to Murder (Sec.304 IPC),0
Arunachal Pradesh,Attempt to Commit Murder (Sec.307 IPC),0
Arunachal Pradesh,Attempt to Commit Culpable Homicide (Sec.308 IPC),0
Arunachal Pradesh,Simple Hurt (Sec.323 & 324 IPC),1
Arunachal Pradesh,"Grievous Hurt (Sec.325,326,326A & 326B IPC)",0
Arunachal Pradesh,Assault on Women with Intent to Outrage her Modesty (Sec.354 IPC),0
Arunachal Pradesh,Kidnapping and Abduction (Sec.363–368 IPC),0
Arunachal Pradesh,Rape (Sec.376 IPC),0
Arunachal Pradesh,Extortion (Sec.384–389 IPC),0
Arunachal Pradesh,Robbery (Sec.392–398 IPC),0
Arunachal Pradesh,Theft (Sec.379 IPC),1
Arunachal Pradesh,Dacoity (Total),0
Arunachal Pradesh,Criminal Trespass (Sec.447–452 IPC),0
Arunachal Pradesh,"Fraud (Sec.420 r/w Sec.465,468–471 IPC)",0
Arunachal Pradesh,Cheating (Sec.420 IPC),0
Arunachal Pradesh,"Forgery (Sec.467,468,469,471 & 474 IPC)",1
Arunachal Pradesh,Criminal Intimidation (Sec.506 IPC),0
Arunachal Pradesh,Other IPC Crimes,3
Assam,Murder (Sec.302 IPC),6
Assam,Culpable Homicide not amounting to Murder (Sec.304 IPC),0
Assam,Attempt to Commit Murder (Sec.307 IPC),0
Assam,Attempt to Commit Culpable Homicide (Sec.308 IPC),0
Assam,Simple Hurt (Sec.323 & 324 IPC),0
Assam,"Grievous Hurt (Sec.325,326,326A & 326B IPC)",0
Assam,Assault on Women with Intent to Outrage her Modesty (Sec.354 IPC),0
Assam,Kidnapping and Abduction (Sec.363–368 IPC),0
Assam,Rape (Sec.376 IPC),0
Assam,Extortion (Sec.384–389 IPC),0
Assam,Robbery (Sec.392–398 IPC),0
Assam,Theft (Sec.379 IPC),0
Assam,Dacoity (Total),0
Assam,Criminal Trespass (Sec.447–452 IPC),0
Assam,"Fraud (Sec.420 r/w Sec.465,468–471 IPC)",0
Assam,Cheating (Sec.420 IPC),0
Assam,"Forgery (Sec.467,468,469,471 & 474 IPC)",0
Assam,Criminal Intimidation (Sec.506 IPC),0
Assam,Other IPC Crimes,0
Bihar,Murder (Sec.302 IPC),39
Bihar,Culpable Homicide not amounting to Murder (Sec.304 IPC),1
Bihar,Attempt to Commit Murder (Sec.307 IPC),12
Bihar,Attempt to Commit Culpable Homicide (Sec.308 IPC),0
Bihar,Simple Hurt (Sec.323 & 324 IPC),151
Bihar,"Grievous Hurt (Sec.325,326,326A & 326B IPC)",31
Bihar,Assault on Women with Intent to Outrage her Modesty (Sec.354 IPC),0
Bihar,Kidnapping and Abduction (Sec.363–368 IPC),0
Bihar,Rape (Sec.376 IPC),2
Bihar,Extortion (Sec.384–389 IPC),2
Bihar,Robbery (Sec.392–398 IPC),0
Bihar,Theft (Sec.379 IPC),5
Bihar,Dacoity (Total),0
Bihar,Criminal Trespass (Sec.447–452 IPC),0
Bihar,"Fraud (Sec.420 r/w Sec.465,468–471 IPC)",7
Bihar,Cheating (Sec.420 IPC),0
Bihar,"Forgery (Sec.467,468,469,471 & 474 IPC)",2
Bihar,Criminal Intimidation (Sec.506 IPC),0
Bihar,Other IPC Crimes,0
Chhattisgarh,Murder (Sec.302 IPC),90
Chhattisgarh,Culpable Homicide not amounting to Murder (Sec.304 IPC),1
Chhattisgarh,Attempt to Commit Murder (Sec.307 IPC),25
Chhattisgarh,Attempt to Commit Culpable Homicide (Sec.308 IPC),0
Chhattisgarh,Simple Hurt (Sec.323 & 324 IPC),627
Chhattisgarh,"Grievous Hurt (Sec.325,326,326A & 326B IPC)",31
Chhattisgarh,Assault on Women with Intent to Outrage her Modesty (Sec.354 IPC),0
Chhattisgarh,Kidnapping and Abduction (Sec.363–368 IPC),0
Chhattisgarh,Rape (Sec.376 IPC),5
Chhattisgarh,Extortion (Sec.384–389 IPC),2
Chhattisgarh,Robbery (Sec.392–398 IPC),7
Chhattisgarh,Theft (Sec.379 IPC),122
Chhattisgarh,Dacoity (Total),0
Chhattisgarh,Criminal Trespass (Sec.447–452 IPC),7
Chhattisgarh,"Fraud (Sec.420 r/w Sec.465,468–471 IPC)",18
Chhattisgarh,Cheating (Sec.420 IPC),41
Chhattisgarh,"Forgery (Sec.467,468,469,471 & 474 IPC)",2
Chhattisgarh,Criminal Intimidation (Sec.506 IPC),99
Chhattisgarh,Other IPC Crimes,555
Goa,Murder (Sec.302 IPC),5
Goa,Culpable Homicide not amounting to Murder (Sec.304 IPC),0
Goa,Attempt to Commit Murder (Sec.307 IPC),0
Goa,Attempt to Commit Culpable Homicide (Sec.308 IPC),0
Goa,Simple Hurt (Sec.323 & 324 IPC),6
Goa,"Grievous Hurt (Sec.325,326,326A & 326B IPC)",5
Goa,Assault on Women with Intent to Outrage her Modesty (Sec.354 IPC),0
Goa,Kidnapping and Abduction (Sec.363–368 IPC),0
Goa,Rape (Sec.376 IPC),0
Goa,Extortion (Sec.384–389 IPC),0
Goa,Robbery (Sec.392–398 IPC),0
Goa,Theft (Sec.379 IPC),3
Goa,Dacoity (Total),0
Goa,Criminal Trespass (Sec.447–452 IPC),1
Goa,"Fraud (Sec.420 r/w Sec.465,468–471 IPC)",1
Goa,Cheating (Sec.420 IPC),0
Goa,"Forgery (Sec.467,468,469,471 & 474 IPC)",0
Goa,Criminal Intimidation (Sec.506 IPC),2
Goa,Other IPC Crimes,12
Gujarat,Murder (Sec.302 IPC),47
Gujarat,Culpable Homicide not amounting to Murder (Sec.304 IPC),4
Gujarat,Attempt to Commit Murder (Sec.307 IPC),18
Gujarat,Attempt to Commit Culpable Homicide (Sec.308 IPC),0
Gujarat,Simple Hurt (Sec.323 & 324 IPC),68
